Movie Name,Original Language - Year of Release,Overview,MDL Rating
Shape of My Heart,Japanese Movie - 2024,,
Promised Land,Japanese Movie - 2024,"A mountain town in rural Tohoku, where the traditions of the Matagi hunters are upheld during spring. Nobuyuki, a 20-year-old who assists his parents' work after graduating high school, finds himself growing tired of…",
Bloody Sniper,Chinese Movie - 2024,,
Let It Rain,Japanese Movie - 2024,,
Knot,Japanese Movie - 2024,,
Okano Kyoju no Koko Kyoso Tan,Japanese Movie - 2023,"A transfer student, rumoured to have been involved in a violent incident, awaits him at a high school run by a perfect elite. And they are both captivated by a Madonna! Will it be the transfer student, Morita, a.k.a.…",
Frail,Japanese Movie - 2024,,
Nichiyo Kyofu Series: Best Selection 3,Japanese Movie - 2024,"A Japanese horror omnibus which consists of three stories: > Story 1: ""Ohinasama no Borei"" (おひな様の亡霊) A high school girl is invited to an old family's prestigious Hinamatsuri festival but becomes embroiled…",
The Chronicles of Libidoists,Taiwanese Movie - 2024,"The story tells about four souls, each lost in their quest for sexual fulfillment, yet bound by a common yearning for something purer, something that might resemble love. Meet Lu, a trans female haunted by an incomplete…",
Gemnibus Vol. 1,Japanese Movie - 2024,,
Life Hotel,Chinese Movie - 2024,"In order to raise money for his father, San Qing went undercover to a hotel called Laifu Hotel near the hospital, trying to disturb the business of the hotel, thus forcing the owner Xiao Lin to agree to demolition. But…",7.3
Dead Talents Society,Taiwanese Movie - 2024,It follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living. (Source: Letterboxd) ~~ Release…,
Stranger,Chinese Movie - 2024,"~~ Co-production with France, Netherlands, Norway, and the U.S.A.
~~ Release date: Jun 28, 2024 (Festival)",
Flawless,Chinese Movie - 2024,,
Jianghai's Heroic Sons and Daughters,Chinese Movie - 2024,,
Drawing Closer,Japanese Movie - 2024,"Hayasaka Akito is a talented artist. He is working hard to be accepted for the Nika Exhibition, but a tumor is discovered in his heart, and he is told that he has one year left to live. Hayasaka Akito doesn't express…",8.9
Sharp Teeth,Chinese Movie - 2024,,
Lost in Tomb,Chinese Movie - 2024,"Ling Han’s aura of royalty is actually related to the huge psychological trauma in her childhood caused by the mysterious disappearance of her father, Ling Wei. Sima Feng, a wealthy businessman from a certain biological…",6.1
Honest People,Korean Movie - 2024,"As long as you go through her hands, the door to a new life and success will open! Bo Yoon is a personal statement ghostwriter who boasts a 99% passing rate and 100% customer satisfaction. Her life is a burden every…",
Stars in the Ordinary Universe,Korean Movie - 2024,"An endless multiverse, a brilliant story of ordinary people you meet while crossing the universe! > Story 1: Universe #1 A high school girl who realizes the biological limitations of humans begins a bizarre self-study…",
Bora,Chinese Movie - 2024,,
Sheathed,Chinese Movie - 2024,,
Unspeakable,Chinese Movie - 2024,,
Qin Zi Shi Guang,Chinese Movie - 2024,,
Dove in the Shade,Chinese Movie - 2024,"~~ Adapted from the novel ""Ge Zi De Yu Mao Liang Le"" (鸽子的羽毛亮了) by Yang Xiang Rong (杨向荣 ).",
Yi Shi Zai Bei Jing De Sheng Huo,Chinese Movie - 2024,,
Conviction,Chinese Movie - 2024,,
Suffocating Love,Taiwanese Movie - 2024,"A man falls in love with a control freak. He willingly obeys and gives his all during the infatuation stage of love. However, when another girl appears, he realizes that love can actually be liberating. In a dream, he…",
A Message,Chinese Movie - 2024,,
Nihon Toitsu Gaiden: Yamazaki-gumi Joji to Yukaina Nakamatachi,Japanese Movie - 2024,"One day, when Himura and Tamura go to the office, they find cute animals. When they ask Ishizawa and Yamamura about the situation, they learn that a drunken Sakaguchi bought them. Himuro and Tamura, unable to contain…",
Top 1,Filipino Movie - 2024,"Azi and Dex are both vying to be their batch valedictorian, but Dex is always behind Azi. He then plans to make her fall in love to be a distraction, but his plan is a double-edged sword.

(Source: vivamax.net)",5.9
Better Call Joel,Thai Movie - 2024,"After graduation, Joel and Chuang are suspected of being murderers after drug dealing and illegal cream making gang. They are suspected of killing people and using them to make cream.

(Source: alicepun YouTube)",
Spring Like a Dog,Chinese Movie - 2024,,
Like a Stone,Chinese Movie - 2024,,
Double Eyelids,Chinese Movie - 2024,,
You Qian Bie De Se,Chinese Movie - 2024,,
Billon Interns,Chinese Movie - 2024,,
One Day Miracle,Thai Movie - 2024,"It is the story of Toon, a young, gay, introverted man who suffers from essential tremor (hand tremor). As a favor, he is asked by an auntie to take care of her son, Point, who is also gay and has paraplegia. The two…",7.2
Luo Yu Qian,Chinese Movie - 2024,,
The Night of the Peak,Chinese Movie - 2024,,
Silent Sparks,Taiwanese Movie - 2024,"Earnest and obedient, Pao helps his gangster boss “handle"" all kinds of matters, constantly putting himself at risk in return for a bit of money to help with the family expenses. But deep down, Pao harbors a secret…",
Moments We Shared,Chinese Movie - 2024,"Liu Shi San, who was longing for the city with all his heart, suffered hits in love and career one after another after graduation . After waking up drunk, he found that he was brought back to his hometown by his grandmother.…",8.4
Hajimete no Onna,Japanese Movie - 2024,"~~ Adapted from the short story ""Hajimete no Onna"" (初めての女), within the novel ""Haijin Nakama"" (俳人仲間) by Takii Kosaku (瀧井孝作).",
We Are Forever,Chinese Movie - 2024,"Si Tian Yi and Lu Mei Li are both afflicted with love-sickness. This leads them on an amazing journey of revenge. Along the way, they faced different challenges and developed new personalities. But they found the courage…",
Hitotsu no Sora,Japanese Movie - 2024,"Riko Yokokura is a troubled high school girl who became the target of bullying and became a delinquent due to jealousy over her longed-for senior, meets a karate master, and regains what she lost as she practices. (Source:…",
Sniper Elite: Nanocrisis,Chinese Movie - 2024,,
Departure,Chinese Movie - 2024,,
Hijack 1971,Korean Movie - 2024,"In the year 1971, former Korean Air Force fighter pilot Tae In works as a pilot for a commercial airline. He faces a crisis inside a hijacked flight with the passengers, including Yong Dae, and his crew members, including…",8.2
Oi Handsome!!,Japanese Movie - 2024,"Ito Gentaro is a slightly annoying but strong father who wishes for the happiness of his family . His eldest daughter, Yuka, is doing great at work, her love life is at a standstill, and she is on a diet and her stomach…",
Kyu Ju Sai. Nani ga Medetai,Japanese Movie - 2024,"Sato Aiko, who has won numerous literary awards. After surpassing the age of 90 and ceasing to write, reducing social interactions, and living in a gloomy state, a middle-aged editor named Yoshikawa Shinya brings a request…",
Starfall,Chinese Movie - 2024,"Zhang Ying Long, who worked hard in Beijing, returned to his hometown to visit his family. He learned that the environment in his hometown had deteriorated due to logging and coal mining. The area was once lush with…",
Nurse Abi,Filipino Movie - 2024,"When overworked graphic designer Roy faints, he wakes up to the beautiful Nurse Abi taking care of him. This starts Roy’s fantasy of going out and sleeping with Nurse Abi. But can he turn this fantasy into a reality?…",5.9
Kuchinai Sakura,Japanese Movie - 2024,"A female university student was stalked by a man, and she was killed by that person. According to a scoop from a local newspaper, a police officer delayed processing a complaint from the victim and, instead, went on…",8.1
Echo,Chinese Movie - 2024,,
North,Chinese Movie - 2024,,
Reversed Destiny,Chinese Movie - 2024,"Mo Xing Xing suffers from mental illness because her mother died after saving a boy who lost his footing. Fortunately, accompanied by good friends Mi Sha and Lu Li, Mo Xing Xing spent a warm youth. However, one day Xing…",8.0
Jealousy,Chinese Movie - 2024,,
Awakener,Chinese Movie - 2024,,
Wisdom Tooth,Chinese Movie - 2024,,
Jurassic Invasion,Chinese Movie - 2024,,
Sleepless Night,Korean Movie - 2024,"Hyun Woo, who couldn't sleep in the tropical night, goes to the Han River to run. There, he will receive a phone call from his friend of 10 years, Hyung Sik.

(Source: aydenstory.modoo.at)",
The Lost Daughter,Chinese Movie - 2024,"The rainstorm is coming, and the rumbling sound mixed with the shouts of the crowds hit the playground. Tang Ping An, who participates in the elementary school track and field competition, falls severely to the ground.…",
The Remains of the Night,Chinese Movie - 2024,,
"Odd ""Dong Dong"" at Midnight",Chinese Movie - 2024,,
Wandering in the Big Party,Chinese Movie - 2024,,
In the Whisper of the Breeze,Chinese Movie - 2024,,
Beneath the Constant Tide,Chinese Movie - 2024,,
The Hedgehog,Chinese Movie - 2024,"A friendship story between a stuttering and rebellious teenager and his mentally ill uncle. (Source: IMDb) ~~ Adapted from the short story ""Xian Zheng"" (仙症) by Zheng Zhi (郑执). ~~ Release dates: Jun 20, 2024 (Festival)…",
"Beautiful Ages, Wonderful Ages",Chinese Movie - 2024,,
A Family on the Long March,Chinese Movie - 2024,,
A Man and a Woman,Chinese Movie - 2024,"In the early spring of 2021, a man and a woman flew to Hong Kong at the same time, and while waiting to enter the mainland, they stayed in the same hotel, separated by a wall. During the short intersection of their lives,…",
Li Nuo's Dream,Chinese Movie - 2024,"Li Nuo is a deliveryman who was urged to get up by his father Li Fu Hai every day. While delivering food, he met the old boxer Li Tie who was about to retire. It was this ""chance encounter"" that caused Li Nuo to lose…",
Habitat,Chinese Movie - 2024,"After a fire, music teacher Liang Yan became a beautiful widow in everyone's eyes. Neighbor Liu Yong Ming treated her with great affection, but was treated coldly by Liang Yan. Liang Yan intuitively determined that her…",
Jin Xi Zao Tang,Chinese Movie - 2024,"Zhang Da Jin, a kind-hearted and easily deceived young man from Northeast China, was deceived by the pyramid scheme leader Bao Ge. Not only did his dream of getting rich be shattered, but he also owed debts to the entire…",
Sheng Tu,Chinese Movie - 2024,,
Huwad,Filipino Movie - 2024,"When Romina learns that her husband has been cheating on her, she turns to the town’s folk healer for help and obtains a love potion. But it seems the potion is working on everyone except her husband. (Source: vivamax.net)",6.0
Hui Guang,Chinese Movie - 2024,,
My Teacher Is a Teddy Boy,Chinese Movie - 2024,,
The Sun Rises Again,Chinese Movie - 2024,,
Yang Tai Shang De Nv Ren,Chinese Movie - 2024,,
Karma,Filipino Movie - 2024,"Angel is an ace assassin who is forever scarred by her father's murder. She was eight years old when her father was brutally killed in front of her, and she grew up trying to protect those who were being oppressed. (Source:…",
Born After Writing,Chinese Movie - 2024,,
Min Jian Bie Bao Chuan Shuo,Chinese Movie - 2024,"In the early years of the Republic of China, there was a village called Sandaolingzi hidden in the quiet mountains and dense forests of the northeast. One day, Kong Zhao Su, who was engaged in the business of hiding…",6.9
The Absent,Chinese Movie - 2024,"It tells the story of a Russian photographer who has been away from home for a long time, a Han girl who wanders around looking for her father, and a lonely Tatar accordionist who meet unexpectedly in a northern town…",
Sukhavati,Chinese Movie - 2024,"The over-treated grandmother of the Ji family lost consciousness and waited for death. Between giving up treatment and prolonging life, the Ji family was in chaos and lost their daily order. This made the grandson You…",
To Be by Your Side,Chinese Movie - 2024,,
Dreaming of Mother and Home,Chinese Movie - 2024,"Zhao Yu returns to her hometown, which is no longer familiar to her, to accompany her mother through the last journey of her life. In the changing seasons and the details of daily life between her hometown and a foreign…",
Survival,Chinese Movie - 2024,"Veteran Zhang Wei was working abroad. One day he received a letter from the village chief asking him to return to his hometown in northeast China to help build the village and make a fortune together. After returning,…",
