Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
69,#2820,Meteor Garden,Chinese Drama - 2018,"An ordinary girl is admitted to the most prestigious school in the country, where she encounters F4, an exclusive group comprised of the four wealthiest and most handsome boys in the school - Dao Ming Si, Hua Ze Lei,…",50 episodes,7.9
70,#375,"It's Okay, That's Love",Korean Drama - 2014,"Despite being a bit of a prickly pear, Jang Jae Yeol has become famous for authoring mystery novels and for hosting a popular radio show. While sitting on a talk show panel with psychiatrist Ji Hae Soo, it became clear…",16 episodes,8.6
71,#4896,My Secret Romance,Korean Drama - 2017,"Cha Jin Wook is a son from a wealthy family who runs a large company. He usually only pursues short-term love, but when he meets Lee Yoo Mi, who has never had a boyfriend before, he changes. In a dating world full of…",13 episodes,7.6
72,#998,He Is Psychometric,Korean Drama - 2019,"After losing his parents in a fire, Lee Ahn acquires the power of psychometry, the ability to read a person or an object's past through physical contact, and he decides to use it to take bad people down. While he does…",16 episodes,8.3
73,#132,Imawa no Kuni no Alice,Japanese Drama - 2020,"Arisu Ryohei—a listless, jobless and video-game-obsessed young man—suddenly finds himself in a strange, emptied-out version of Tokyo in which he and his friends must compete in dangerous games in order to survive.…",8 episodes,8.8
74,#715,Angel's Last Mission: Love,Korean Drama - 2019,"Lee Yeon Seo, is a cynical and arrogant ballerina. She is the prima ballerina, but after an accident she has to give up her dream. After her parents' sudden death, she doesn’t trust anyone since there are a lot of…",32 episodes,8.4
75,#2207,You're Beautiful,Korean Drama - 2009,"The management company of the idol group A.N.JELL insisted on adding a new singer to the group as the lead vocal, Tae Kyung's voice was hurting. However,the new member, Mi Nam, had to go to the States to repair a botched…",16 episodes,8.0
76,#525,Vagabond,Korean Drama - 2019,"Cha Dal Gun becomes an awakened tiger in the face of his nephew’s death in a mysterious plane crash. As an orphan himself, he had raised his nephew singlehandedly in place of his brother who had passed on. Triggered…",16 episodes,8.5
77,#977,City Hunter,Korean Drama - 2011,Lee Yoon Sung is a talented MIT-graduate who works on the international communications team in the Blue House. He plans revenge on five politicians who caused his father's death with his surrogate father Lee Jin Pyo…,20 episodes,8.3
78,#7779,Playful Kiss,Korean Drama - 2010,"Oh Ha Ni is a clumsy high school student who falls for perfectionist Baek Seung Jo. However, Seung Jo is indifferent towards her and rejects her love. When Ha Ni's house collapses, she and her father move into his long-time…",16 episodes,7.3
