Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
4526,#5841,Hotelier,Korean Drama - 2001,"Jin Young, an open-minded and energetic woman, works for the Seoul Hotel. Her ex-boyfriend Tae Joon resigned and left for Vegas three years earlier due to an accident with a guest. However, the owner admired and had…",20 episodes,7.5
4527,#8460,Love Yunge From the Desert,Chinese Drama - 2015,"During the Western Han Dynasty, an eight-year-old Emperor Zhao of Han meets a girl Huo Yun Ge (daughter of Huo Qu Bing and Jin Yu from Ballad of the Desert), who rescued him from the cold of the desert. Ten years later,…",45 episodes,7.2
4528,#7467,Demon Girl Season 2,Chinese Drama - 2016,"The story picks up from where season one left off. Nie Qing Cheng promises the demons to cut off all forms of contact with Ming Xia, who no longer has memories of the past. Yet, their fates take on a more tragic turn…",20 episodes,7.3
4529,#6164,"Ashita, Watashi wa Dareka no Kanojo",Japanese Drama - 2022,"A bitter love story depicting the realities of love between a female college students who earn money as a stand-in girlfriend, and men attracted to them. (Source: MyDramaList) ~~ Adapted from the manga series “Ashita,…",12 episodes,7.5
4530,#3740,Niini no Koto wo Wasurenaide,Japanese Special - 2009,"Kawai Keisuke is a young man who aspired to become a physicist since he was young. His hopeful parents send him to an expensive college prep school, but at the age of 15, during his third year of junior high, he is diagnosed…",1 episodes,7.8
4531,#2984,Nee Ruk Nai Krong Fai,Thai Drama - 2019,"On her seventh birthday, Chalita's entire family was killed. Kawin/Kevin was given the option to slay three people in order to protect one. His guilt drove him to distance himself from her. In her youth, Chalita is adopted…",18 episodes,7.9
4532,#41872,The Borrowed Body,Korean Drama - TBA,"It is a fantasy mystery romance in which the body of outsider Lee Sang Woo, who is falsely accused and hated by all students and the popular insider Gi Da Rim's body, changes. The story is set at a private institute…",15 episodes,
4533,#10066,Marrying a Millionaire,Korean Drama - 2005,"Dream of marrying a millionaire? Add one ""Average Joe,"" join seven other chosen women, and let the TV network fund your fantasy. Han Eun Young toils as a bank clerk, struggling to repay debts inflicted by her stepmother…",16 episodes,6.7
4534,#7878,Loneliness Society,Thai Drama - 2023,"When courier Meena witnesses Arthit struck down in the road, she rushes him to a hospital. There, she's put in a position where she allows the staff to misunderstand her relationship with the patient. When his family…",14 episodes,7.2
4535,#32,Suchwita,Korean TV Show - 2022,"With a playful, fitting rhyme with the title track of D-2, Daechwita, this talk-show format allows Min Yoon Gi, as the main host, to engage in open dialogue with guests from a range of professions while drinking. He…",27 episodes,9.1
4536,#3748,Remembering Lichuan,Chinese Drama - 2016,"Four years ago, her boyfriend Li Chuan left without saying goodbye, leaving Xiao Qiu bereft and at a loss as to how someone she loved so deeply could leave her so suddenly. Brokenhearted, Xiao Qiu accidentally comes…",38 episodes,7.8
4537,#4841,Still Loving You,Korean Drama - 2016,"The tale of former teacher and student, Oh Eun Soo and Kim Bit Na, who meet again years later after they married brothers, Yoon Soo Ho and Yoon Soo Hyun. They even become stepsisters after remarriage of their parents.",125 episodes,7.6
4538,#7266,Big Thing,Korean Drama - 2010,"Seo Hye Rim is a hot-tempered news announcer who was fired by the broadcasting company, but is later elected to the National Assembly and became the first female president of Korea. She faces political pressure and potential…",24 episodes,7.3
4539,#7546,Fool in Love with You,Chinese Drama - 2016,"Chi Mo is a rich CEO who has the normal average drama annoying CEO type of role. But, after meeting a girl named Hao Chong Min, his mental activity changed. His other personality came out, also known as Song Xiao Xiao,…",35 episodes,7.3
4540,#1963,Boku no Yabai Tsuma,Japanese Drama - 2016,"Mochizuki Kohei married Maria, the beautiful and talented daughter of a wealthy family. He quit his job at a medium-sized advertising agency to run a café and appears to have everything going well with him. Although…",9 episodes,8.1
4541,#9699,Sensei wo Kesu Houteishiki,Japanese Drama - 2020,"At a prestigious high school in Tokyo, the third grade D Class consists of high scoring students. This is a group with a history, as all of their previous homeroom teachers have been driven crazy within a short period…",8 episodes,6.8
4542,#4611,Bangkok Love Stories 2: Plead,Thai Drama - 2019,"When a blind fortune teller decides to love a confident girl, who doesn't believe in fate, even the horoscope of both will be very strongly, that may cause his fate to be absent...

(Source: Facebook)",13 episodes,7.6
4543,#9705,Kamen Rider Ghost,Japanese Drama - 2015,"In this installment of the Toei Company's long running Kamen Rider series, Takeru Tenkuji, a young boy living in a small temple, is killed by a monster from another dimension on his 18th birthday and comes back to life…",50 episodes,6.8
4544,#9391,Akihabara@DEEP,Japanese Drama - 2006,"Akihabara is a Tokyo district full of mangas, anime, electronics, video games, figurines, etc. It is a place that gathers fanatics of such themes, people who are commonly referred to as otaku. Page, Box, Akira, Taiko,…",11 episodes,7.0
4545,#41943,An Eternal Thought,Chinese Drama - TBA,"Bai Xiao Chun, a kind-hearted and free-spirited, always uses his own methods to help people who he thinks are in need. This leads to many hilarious situations, and he is regarded by villagers as a rebellious kid. After…",40 episodes,
4546,#1560,The Knockout,Chinese Drama - 2023,"An Xin, a front-line criminal police officer in Jinghai City, is constantly in a struggle with the black and evil forces, and is never able to bring the criminals to justice. After the national political and legal team…",39 episodes,8.1
4547,#3478,Myu no Anyo Papa ni Ageru,Japanese Special - 2008,"The drama is based on a true story of Yamaguchi Hayato, a 25 years old young man who learns he has a rare illness known as CIDP, which affects the nervous system. He begins to lose the functioning of his limbs, but he…",1 episodes,7.8
4548,#4296,Jao Sao Jamloei,Thai Drama - 2022,"It is said that marriage usually begins with love. But for Ingjan, her marriage began with... a grudge. When Ingjan's family attempts to trick her into marrying an old toad in order to pay off the debt they had incurred,…",17 episodes,7.7
4549,#4562,Final Fantasy XIV: Hikari no Otousan,Japanese Drama - 2017,"The original material for this drama comes from a blog titled ""Gekikakusatsu SS Nikki"" by a person named Maidy. In the drama, Inaba Hirotaro, who has only been devoted to working so far, is hooked on online games now…",8 episodes,7.6
4550,#1272,Agents of Mystery,Korean TV Show - 2024,"It depicts the story of an investigative team dedicated to special cases that cannot be solved by regular departments, tracking down cases at sites where strange things have happened. (Source: Korean = yna.co.kr || Translation…",6 episodes,8.2
4551,#1461,Nankyoku Tairiku,Japanese Drama - 2011,"A drama commemorating TBS's 60th anniversary, the story is about 11 members who were sent to the South Pole for the first time in February 1957 in a national project to explore Antartica. They were accompanied by a dogsled…",10 episodes,8.2
4552,#10278,Love to Our Youth: He Falls in Love with Him,Taiwanese Drama - 2016,"Zhang Xin Yu and Xiao En are boyfriend and girlfriend. However, their friend Pin Jia (a lesbian) likes Xiao En. At the same time, Wei Jia (a gay man) also likes Zhang Xin Yu.",5 episodes,6.6
4553,#8109,Gisou Furin,Japanese Drama - 2019,"Hama Shoko is a 32-year-old single woman and a contract worker. She is not good at romance and does not have a boyfriend, but she wants to get married. For the past 2 years, she has been looking for a man to marry. Still…",10 episodes,7.2
4554,#42111,Snowy Night: Timeless Love,Chinese Drama - 2024,"It tells the story of Huo Zhan Bai, a talented and unruly swordsman who was originally a disciple of the Tianshan Sect. Huo Zhan Bai seeks medicine for his friend's son and meets Xue Zi Ye, the master of the Medicine…",32 episodes,
4555,#2540,Original Sin,Chinese Drama - 2018,A lawyer who has been sentenced to jail becomes successful in business after serving time. A cop with a flourishing career solves case after case. The two people who are on opposite sides of the law are forced to join…,24 episodes,7.9
4556,#7035,About Love,Korean Special - 2015,"A web drama that consists of two segments (""Milky Love"" and ""Secret Love"") broken down into two episodes each. ""Milky Love"" tells the story between a barista and a girl who like each other without them knowing the other's…",4 episodes,7.3
4557,#1692,Door to Door,Japanese Special - 2009,"Based on a true story about about a man who was told for many years that he was not employable, but threw all of his effort into working as a door-to-door salesman. Despite the pain attributed to his cerebral palsy,…",1 episodes,8.1
4558,#5742,Angel 'N' Devil,Taiwanese Drama - 2014,"A group of high school girls is Copper Dimension's last defense against the dark forces. They signed a contract with Xiong Ya, a guardian of light, to protect the innocent with their lives in exchange for having one…",26 episodes,7.5
4559,#10168,Our Story,Filipino Drama - 2023,"Join us for an unforgettable journey in 'Our Story,' the captivating final chapter of the My Day The Series Trilogy. Follow Zeke and Fifth's epic love story as they navigate life's challenges and uncertainties. Will…",13 episodes,6.6
4560,#7129,Gloria,Korean Drama - 2010,"Gloria is an intense tale of people who are fiercely devoted to surviving their rough lives, focusing in particular on the life of a nightclub singer, Na Jin Jin, who braves the difficulties of her work to provide for…",50 episodes,7.3
4561,#8370,Princess! You have Five Husbands!,Chinese Drama - 2021,"Sun Wu Hen is a clumsy beauty who is sent off to another country for a diplomatic marriage as soon as she is promoted to a princess of the Haitang Kingdom. Together with her nanny, they arrive in the Xiangxiong Kingdom,…",39 episodes,7.2
4562,#3760,Tamiou,Japanese Drama - 2015,"One day, the current prime minister of Japan, Muto Taizan, and his useless son, Sho, suddenly discover that they have switched bodies. With no known cause or solution at hand, Sho reluctantly ends up appearing in the…",8 episodes,7.7
4563,#1715,All-Boys High,Korean Drama - 2019,Two high school boys growing and getting mature together. They are thinking about their dreams and future.,10 episodes,8.1
4564,#2299,Sutekina Sen Taxi,Japanese Drama - 2014,"Edawakare is the driver of Sentaxi, a marvellous vehicle which is able to take a passenger back to his or her “life’s turning point”. His cool appearance is at odds with his talkative, meddlesome, sweet-toothed…",10 episodes,8.0
4565,#8711,Say that You Love Me,Chinese Drama - 2012,"It is the story of four young people in the university, building up their of friendship and love. Chi Zao Zao and two high school friends have finally got into their ideal university in their three years of effort. First…",32 episodes,7.1
4566,#42100,Moonlit Reunion,Chinese Drama - TBA,"Wu Zhen has a prominent status. Her sister is the queen, and her father is the Duke of Henan. She has been pampered since she was a child. She has a free and uninhibited personality and often wears men's clothes, visits…",36 episodes,
4567,#4005,My Girlfriend's Boyfriend Season 2,Chinese Drama - 2017,"A nerd with no girlfriend decides to order the perfect robot goddess for himself. He just wasn’t planning on accidentally ordering her a boyfriend too. 

(Source: Dramafever)",16 episodes,7.7
4568,#10652,Magic Cell Phone,Korean Drama - 2016,"The drama revolves around the romance between an ordinary guy and a girl group member.

~~ The drama is a joint Korean-Chinese production, for a total of 5 parts.",10 episodes,5.7
4569,#4273,Love and Deception,Thai Drama - 2022,"The sudden and mysterious demise of his father, Phipop, leads Pithai to discover that his girlfriend Kamolthip was, in fact, his father's lover and, therefore, a prime suspect in his death. To escape, she runs off with…",16 episodes,7.7
4570,#6820,YOUniverse,Thai Drama - 2018,"Knight is a fan of soundtracks of movies and dramas. When he went on a mission to find the soundtrack for the movie ""My Girl,"" he found out the last CD had already been bought. He went out to look for the girl who purchased…",4 episodes,7.4
4571,#9853,Nickname Pine Leaf,Korean Drama - 2021,"The story of the main character who claimed to be a broadcaster.

(Source: yogurD YouTube)",3 episodes,6.8
4572,#2379,Avalanche,Japanese Drama - 2021,"Habu Seiichi is a member of the mysterious outlaw group Avalanche. The group exists at a time when moral hazards run rampant among politicians, bureaucrats, businesses and even among ordinary people. (Source: AsianWiki)",10 episodes,8.0
4573,#4843,Ano Toki Kiss Shite Okeba,Japanese Drama - 2021,"Nozomu Momochi is a pretty nice guy who is altruistic, not too ambitious, works in a supermarket, and is into reading mangas. One day at work he has a lucky encounter with Tomoe Yuizuki, the writer of his favorite manga.…",8 episodes,7.6
4574,#7829,Sweet Sweet Bodyguard,Taiwanese Drama - 2012,"Raised up in a military family and trained to become a bodyguard, Zhen Ai Jia is all about responsibility, loyalty and honor. But at heart, she is an ordinary young girl who is eager to fall in love. In order to prevent…",82 episodes,7.2
4575,#6607,A Different Mr. Xiao,Chinese Drama - 2023,"Song Yi Ju, a senior student at the Traditional Chinese Medicine University, has long relied on the assistance of teaching assistant Xiao Jing to pass her water-related courses. The two, who have known each other for…",24 episodes,7.4
4576,#10080,Your Playlist,Korean Drama - 2021,"Life for the students at Myungsung High School gets a shake-up when |Big Daddy"", a wildly popular and charismatic idol and influencer, transfers to the school. Things get even more complicated when he appears to fall…",8 episodes,6.7
4577,#41878,Reading Class,Chinese Drama - TBA,"Wu Jia Shu, an intelligent and knowledgeable girl, makes a contract with Lu Xing Chen, a celebrity who has to maintain his ""good student"" image on screen. She would secretly tutor him and help him prepare for his appearance…",39 episodes,
4578,#3265,The Legend of Zu Season 2,Chinese Drama - 2018,"A story about a mysterious young heroine who embarks on a search for the big hero who once saved her life. Together with her brother, she comes under the tutelage of Zu Mountain, thus embarking on a journey to help their…",48 episodes,7.8
4579,#3789,GTO: Autumn Demon Rampage Special,Japanese Special - 2012,The special will be set several months after the events in the drama. ‘Onizuka’ gets wind of the imminent closure of the ‘Smile Duck’ (‘White Swan’ in the original manga) orphanage due to a certain town development…,1 episodes,7.7
4580,#3117,Decoded,Chinese Drama - 2016,"Can anyone crack the code? When an unknown Country X sends the dangerous spy known as “The Awakener” to infiltrate China using an advanced coded communication system known as “Purple Secret,” the government can’t…",44 episodes,7.8
4581,#7505,Honey Sir,Chinese Drama - 2020,"Seven stories are used to show the seven appearances of gay love, including secret love, ambiguity, foreign land, misunderstanding, loss, and growth. 1. Do you need a reason to love someone? 2. Have you ever secretly…",7 episodes,7.3
4582,#8364,Senior Secret Love: My Lil Boy 2,Thai Drama - 2016,"Belle is enjoying her life as a first-year student in the university while S is still in high school. Because of this, Belle's attention towards S seems to have decreased and S realized he is now the one with feelings…",8 episodes,7.2
4583,#3652,Drama Stage Season 1: Anthology,Korean Special - 2018,"The story of a boy's first love, a girl who returns a poorly written anthology.",1 episodes,7.8
4584,#7210,Drama Special Season 7: Explicit Innocence,Korean Special - 2016,"Joon Ho is a third year high school student who just finished taking his university exam. His main interest is to sleep with Seo Yeong, his girlfriend, but, so far, she has turned him down.",1 episodes,7.3
4585,#8239,Her Fantastic Adventures,Chinese Drama - 2024,"It tells the story of Qi Chun Jiao, an athletic girl who accidentally turns into Gu Qing Qiao, an ancient wine shop girl, starting a journey with her childhood friend Duan Yu, her male best friend Lu Zi Zheng, and her…",36 episodes,7.2
4586,#7429,Lucky My Love,Thai Drama - 2023,"In the pursuit of love, Napdao has been doing everything. She has got her fortune read. She's gone on a string of blind dates. Unfortunately, however, no one seems to be on the same page as her. She starts to think that…",5 episodes,7.3
4587,#5550,Hi Flower,Chinese Drama - 2017,"Lu Ru Hua is a well-known “salesman” at Haicheng University, where she will do anything to make money, from sneaking into the boy’s dorm to deliver takeaways to queuing in the scorching sun to get other people’s…",18 episodes,7.5
4588,#7820,Love as You Taste,Korean Drama - 2019,Love and food - always the perfect match! A collection of love stories and heartbreaks paired with each person’s favourite food cravings as they all fall in and out of love. Vivacious university students start a club…,10 episodes,7.2
4589,#3573,Jejoongwon,Korean Drama - 2010,"Jejoongwon is the first modern hospital in Korea established in the Joseon era in 1885. Baek Do Yang is a nobleman who gives up his status to enter its ranks. Hwang Jung is a butcher's son who becomes a physician, while…",36 episodes,7.8
4590,#7205,Shibatora,Japanese Drama - 2008,"To the average person on the street, Shibata Taketora looks like an unassuming teenager who's small and vulnerable enough for bullies to see as an easy target. But he's actually a police detective (not to mention a kendo…",11 episodes,7.3
4591,#5937,Voice in the Rain,Thai Drama - 2020,"Rarin is an upcoming fashion designer; her creativity is inspired by a mysterious male voice that only she can hear and only when it rains. The voice belongs to Tanthai, a gorgeous model and actor she is about to work…",16 episodes,7.5
4592,#10327,Intouchable,Chinese Drama - 2015,"Tian Na is a normal high school girl until the school's most handsome guy, Jie, confesses to her. For their first date, Jie brings her to a space-time video store and suddenly disappears on their way home. Tina's necklace…",10 episodes,6.5
4593,#4470,Aozora no Tamago,Japanese Drama - 2012,"Torii is a hikikomori who can make deductions even when he's given a very small amount of information. His friend Sakaki works in an insurance company, and he's the only person who can help Torii to break out of his…",9 episodes,7.7
4594,#6888,Wish Woosh,Korean Special - 2018,"Sun Ah, Tae Woo, Kwak Woong, and Do Woo are workers at a company. Sun Ah and Tae Woo struggle to keep their office romance a secret. Do Woo has a one-sided crush on Kwak Woong and hopes to confess her feelings to him.…",10 episodes,7.4
4595,#5217,S: Saigo no Keikan,Japanese Drama - 2014,"The NPS (National Police Safety Rescue) was formed to combat extreme crimes like terrorism, which is beyond the scope of the ordinary police force. Their purpose is to catch criminals alive. The elite members of the…",10 episodes,7.6
4596,#9144,Wait in Beijing,Chinese Drama - 2020,"A tale of contrasts, featuring two individuals with vastly different backgrounds who discover their surprising similarities amidst constant bickering. As their career trajectories oscillate, a gradual romance unfurls.…",46 episodes,7.0
4597,#8426,Wonderful Time,Chinese Drama - 2021,"While investigating the whereabouts of his older brother, CEO Gong Ou becomes convinced that Shi Xiao Nian was the woman Gong Yu took a photograph with before his disappearance. Shi Xiao Nian, a manhua artist is utterly…",40 episodes,7.2
4598,#8103,Befriend,Taiwanese Drama - 2018,"Ever since his childhood growing up in an orphanage, there has always been something about Zhang Liang that makes almost anyone willing to open up to him. One day, he came across a nameless bookstore where he began making…",24 episodes,7.2
4599,#42276,Taereung Zombie Village,Korean Drama - 2024,"It tells the story of young people fighting against one of the greatest potential disasters of all time — a zombie apocalypse. A zombie virus has spread throughout the Taereung Athlete’s Village, where athletes are…",16 episodes,
4600,#5376,Zeni Geba,Japanese Drama - 2009,"Gamagori Futaro has been poor since the day he was born. As a child his recklessly wasteful and abusive father sunk the family into debt and disappeared, leaving Futaro and his sick mother to fend for themselves. With…",9 episodes,7.5
4601,#6142,Shall We Fall in Love,Chinese Drama - 2018,A story filled with hilarious circumstances that leave you not knowing whether to laugh or cry. It follows a young man's journey from nothing into someone who proves himself at work and wins over love and friendship.…,35 episodes,7.5
4602,#54146,My Love and Stars,Chinese Drama - 2022,"Romance between a genius musician with OCD, and a former female celebrity who becomes his assistant.

(Source: DramaWiki)",24 episodes,7.4
4603,#1826,Boy Hood,Chinese Drama - 2017,"During a game between Ying Hua and Ya Lin, Ying Hua is in low spirits due to a losing streak, and in spite of efforts by new student Ban Xiao Song to win a point, they are defeated by Wu Tong from the opposing team.…",39 episodes,8.1
4604,#4257,Better Man,Taiwanese Drama - 2016,"The Yang brothers have it all — good looks, brains and family background, but each shuns romantic entanglements for his own reasons. Yang Zhen Wei is the workaholic oldest brother who only has his mind set on expanding…",60 episodes,7.7
4605,#9537,Dear Probationary Girlfriend,Chinese Drama - 2022,"This is an inspirational story between Lin Zeyan, who became sensitive and solitary after his eyes were hurt, and Xia You, a bright and positive girl who was his housekeeper. They healed each other and grew together.…",24 episodes,6.9
4606,#2158,Marvelous Women,Chinese Drama - 2021,"As China becomes a major commercial economy, the silk, embroidering, and weaving trade is booming – and a few influential families have risen to the top. The industry’s powerhouse is the Gusu District in Suzhou,…",35 episodes,8.0
4607,#5721,The Legend of Qin,Chinese Drama - 2015,"""The Legend of Qin"" follows through the Qin dynasty time when the Emperor of the Qin, King Zheng conquers the other six nations and unified the whole of China to the rise of the king of Western Chu, Xiang Yu, who capture…",58 episodes,7.5
4608,#2325,In Hand,Japanese Drama - 2019,Himokura Tetsu is a scientist who specialises in the study of parasites. He loathes people and is very sadistic. Tetsu bought a huge botanical garden in Hakone which he converted into his home and lab. He holes up in…,11 episodes,8.0
4609,#327,New Journey to the West Season 2,Korean TV Show - 2016,"In this season, Lee Seung Gi, who is enlisting for his mandatory military service, is replaced by actor Ahn Jae Hyun. The members visit Chengdu and Lijiang, China, where each one of them is assigned a character from…",9 episodes,8.6
4610,#3800,Kimi ga Kokoro wo Kuretakara,Japanese Drama - 2024,"When Aihara Ame was a high school student in Nagasaki, she wasn’t confident in herself due to her past. Asano Taiyo was a student attending the same school as Aihara Ame. He was the only person who talked to her brightly.…",11 episodes,7.7
4611,#42720,Happy Ending,Thai Drama - 2025,"Anti-fan Anawin comes face-to-face with Damon, the antagonist of the web novel ""Finn & Damon."" 

(Source: MyDramaList)",N/A,
4612,#696,"It's Okay, That's Friendship",Korean Drama - 2021,The 12 members of TREASURE take on acting for the first time ever since debut.,1 episodes,8.4
4613,#1371,You Are Mine Special,Taiwanese Special - 2024,"After listening to Shun Yu’s mother, Shang Zhou makes a decision about his future with Shun Yu.

(Source: GagaOOLala)",1 episodes,8.2
4614,#4141,Love Yourself,Chinese Drama - 2020,"A story that follows four women in their thirties during a glorious chapter in their lives. In the city of Shanghai, at the age when they are most beautiful, they continuously strive for growth and independence and ultimately…",36 episodes,7.7
4615,#4768,Be Your Own Light,Chinese Drama - 2023,"He Huan has had to deal with a lot of things such as her husband fleeing and leaving her with huge debts, setbacks in her career, and her mother falling seriously ill. Through the encouragement of friends, He Huan remains…",40 episodes,7.6
4616,#41698,Noble Aspirations Season 3,Chinese Drama - TBA,"Gui Li returns to the Central Plains to personally destroy the mythical sword ""Punisher of the Immortals"" and to resurrect Bi Yao. At the Moon Terrace he meets again Lu Xue Qi, who tries to persuade him to return to…",80 episodes,
4617,#6699,Golden Bride,Korean Drama - 2007,"Jin Joo is a half-Korean and half-Vietnamese girl who marries a Korean man, Kang Jun Woo, in order to come to Korea to look for her biological father who abandoned her. The drama is not only about her searching for her…",64 episodes,7.4
4618,#10576,Style,Korean Drama - 2009,"Lee Seo Jung has recently joined a fashion magazine company called Style. Her boss, Editor Park, is loathed by her employees because of her bad temper. As Seo Jung is trying to climb the ranks of this company, she realizes…",16 episodes,6.2
4619,#58630,My Stupid Cute Husband,Chinese Drama - 2016,Lei Xiao Tao and Yang Kang are very much in love with each other. Their lives have been shocking since the beginning of the marriage. The parents of both parties do not recognize such a rushed marriage. Both husband…,25 episodes,7.2
4620,#4487,Blue Flame Assault,Chinese Drama - 2022,"Story of Li Xi Cheng, who joins the firefighter team with the aura of a hero but is hit with ruthless reality. Deputy captain Ye Qi Heng made a special training plan to hone these new team members into real ""special…",33 episodes,7.7
4621,#3930,Please Don't Spoil Me Season 3,Chinese Drama - 2022,"It tells the story of Yan Yi Yi, the heroine, who accidentally enters into the novel she wrote and tries her best to become a ""nail house"" in the cold palace in order to return to reality, but makes the emperor Qin Yu,…",24 episodes,7.7
4622,#4256,Guilty Akuma to Keiyakushita Onna,Japanese Drama - 2010,"A pet groomer at a salon in Shirogane, Nogami Meiko has a lot of celebrity dog-lovers as customers. She cheerfully serves customers with care, and her skills are tried and tested. The salon's owner, Kotomi, has a strong…",11 episodes,7.7
4623,#3145,I-LAND Season 2: N/a,Korean TV Show - 2024,"In 2020, 23 male contestants battled it out for the opportunity to join ENHYPEN, a new K-pop group produced by the musical masterminds behind BTS. Now, four years later, it’s the ladies’ turn! K-pop supremo Teddy,…",11 episodes,7.8
4624,#5157,Real:Time:Love Season 3,Korean Drama - 2020,"After ten years of being best friends, it has been six months that they have become an honest and confident couple. But because of a mistake, they started a secret relationship? A web sitcom about the real love of nineteen-year-old…",8 episodes,7.6
4625,#6793,Gourmet,Korean Drama - 2008,Talented chefs Bong Joo and Sung Chan were raised like brothers after Sung Chan was orphaned and taken in by Bong Joo's family. Bong Joo's family owns a famous traditional Korean restaurant and claims descent from the…,24 episodes,7.4
4626,#8304,Miss Lee,Korean Drama - 2019,"“Miss Lee” will follow the story of Lee Seon Shim, who starts out at the bottom of the food chain and suddenly finds herself becoming the CEO as she toils to save her company from impending doom after the sudden…",16 episodes,7.2
4627,#333,BTS Birthday Party,Korean TV Show - 2020,"BTS celebrating their 7th year as a group, while preparing their party by themselves and answering different questions on BANGTANTV.",1 episodes,8.6
4628,#8131,I Fell in Love by Accident,Chinese Drama - 2020,"After being single for 6 years, a high-class worker Zheng Ming Wei no longer looks for love as he lost all interest in dating. He meets a specialist, An Ran, who changes his whole view of love, and through complications,…",12 episodes,7.2
4629,#41865,S.C.I Season 2,Chinese Drama - TBA,N/A,N/A,
4630,#9162,Glass Mask,Korean Drama - 2012,"The series follows Kang Yi Kyung, a woman whose father is a murderer. She must deal with tough times and also plot her revenge. To fulfill her revenge, she assumes another woman's identity and comes back as Seo Jung…",122 episodes,7.0
4631,#10367,Calling for Love,Taiwanese Drama - 2010,"Bo Ye is a reluctant big star who entered the entertainment industry to support his family. Now that he has earned enough money and his contract about to end, he happily starts planning for the next stage of his life.…",14 episodes,6.5
4632,#9215,Find Yourself,Thai Drama - 2023,"Yin is a successful businessperson who dreams of love at first sight. Her troublemaking younger brother Yang regularly sets her up on blind dates, but fate toys with her when she drunkenly takes her relationship with…",16 episodes,7.0
4633,#10530,Skinship Season 2,Thai Special - 2021,"Follow up to Skinship Season 1. After Win and Beauty's break up, to help him move on, Win's friends Minnie, Teenoi, and James try to find him a new love. At the same time, Minnie waits for a love for her to appear. (Source:…",3 episodes,6.3
4634,#3594,The Story of Xing Fu,Chinese Drama - 2022,"With a name that means “happiness”, one might suspect that He Xing Fu’s life would be full of nothing but joy. Unfortunately, as is the case for so many of us, Xing Fu’s life was filled with several ups and downs…",40 episodes,7.8
4635,#896,New Journey to the West  Season 1,Korean TV Show - 2015,"Kang Ho Dong, Lee Soo Geun, Eun Ji Won, and Lee Seung Gi embark on a 5-days and 4-nights trip to Xian, China, where each one of them is assigned a character from the classic Chinese novel “Journey to the West”. The…",23 episodes,8.3
4636,#4959,Resurrection,Korean Drama - 2005,"Yu Gang Hyuk was only 7 years old when his father was murdered in a car ""accident"" and separated from his identical twin, Yu Shin Hyuk. He forgot his name and family and given the name Suh Ha Eun by his adopted father…",24 episodes,7.6
4637,#3449,"Watashi, Teiji de Kaerimasu",Japanese Drama - 2019,"Higashiyama Yui works as a director at Net Heroes, a web production company. Due to her workaholic father and bad experiences in the past, she loathes working overtime. Even 2 years ago, she broke off her engagement…",10 episodes,7.8
4638,#8138,Aim the Heart! Archeress,Chinese Drama - 2022,"It tells the story of Han Ruofei, a former star, who joined the archery team as an auditor in order to reshape the sportsman under the arrangement of the company and became an apprentice of Cai Jinye. The two, who don't…",18 episodes,7.2
4639,#5886,Love Story of Court Enemies,Chinese Drama - 2020,"The story is set in the Yuan year of the Yongzheng era. In the time of chaos, Yu Xing and her sister Cai Feng were separated. When Yu Xing knew that Cai Feng had entered the palace as a consort candidate, she decides…",25 episodes,7.5
4640,#2492,New Generation: Because I Have a Home,Chinese Special - 2021,College student and a village official Huang Si Qi and a popular Internet celebrity Zhuang Xiao Dong lead villagers to use e-commerce to gain profits and revitalize their hometown. (Source: Chinese = Baidu || Translation…,8 episodes,7.9
4641,#7608,Rak Rai,Thai Drama - 2017,"Win and Lek are best friends. Lek is in love with Win but Win is dating Lek's older sister. When Lek leaves to go study overseas, she promises that Win will be the first person to see her degree when she comes back.…",40 episodes,7.3
4642,#6016,Brother Beat,Japanese Drama - 2005,"Tanaka Misako stars as a woman struggling to raise her three sons - played by Tamayama Tetsuji, Hayami Mokomichi and Nakao Akiyoshi - after her husband dies. Kuninaka Ryoko will appear as Tamayama's girlfriend, Chisato.…",11 episodes,7.5
4643,#6248,Girl Next Room: Security Love,Thai Drama - 2020,"View Viva is a famous rising star who lives in Ms. Jam's all-female Dorm. One day, she meets the helpful and kind man Fai who later on becomes a security guard at Ms. Jam's dorm as he was fired from an earlier job for…",6 episodes,7.4
4644,#7397,Mutual Redemption Love,Chinese Drama - 2023,"The drama revolves around Rong Yan and Tian You. Rong Yan sought revenge for her family brutally murdered by Lu Sheng, Tian You's father. Rong Yan married Lu Sheng to take revenge for the death of her family while Yun…",30 episodes,7.3
4645,#577,The Eclipse Special,Thai Special - 2022,"Interviews with the cast and director of ""The Eclipse"" featuring behind-the-scenes footage. 

(Source: MyDramaList)",1 episodes,8.5
4646,#6099,The 3rd Ward,Korean Drama - 2012,"""The Third Hospital"" will reveal the tale of neurosurgeons working in an alternative hospital that practices both western and eastern medical practices.",20 episodes,7.5
4647,#5433,"Komi-san wa, Komyushou Desu",Japanese Drama - 2021,"It's Shouko Komi's first day at the prestigious Itan Private High School, and she has already risen to the status of the school's Madonna. With long black hair and a tall, graceful appearance, she captures the attention…",8 episodes,7.5
4648,#65464,Runaway Sweetheart,Chinese Drama - 2013,"What would possess a young woman to move to the other side of the world? Ni Shu Lei grows up in the United States after losing both her parents. When she sees track star Shan Han Fei on television, she falls instantly…",30 episodes,6.8
