Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#65,Twenty-Five Twenty-One,Korean Drama - 2022,16 episodes,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. Na Hee Do is a member of her high school fencing team. Due to the South Korean…",8.8
#66,Stranger,Korean Drama - 2017,16 episodes,"Hwang Shi Mok underwent brain surgery as a child to curb his violent temper, which left him devoid of emotions. Hwang becomes a prosecutor known for his piercing intelligence and logic, but he is ostracized because he…",8.8
#67,One Piece,Japanese Drama - 2023,8 episodes,"The series follows the adventures of the fugitive Straw Hat Pirates, as they explore the dangerous oceans, lands and beyond in search of the ""One Piece"", a fabled treasure that will make their captain The King of the…",8.8
#68,The Red Sleeve,Korean Drama - 2021,17 episodes,"In 18th-century Korea, Prince Yi San is a perfectionist haunted by his father's murder. He's set to inherit the throne once his cruel grandfather, the current king, passes away. Despite the emotional scars left by his…",8.8
#69,Tale of the Nine-Tailed 1938,Korean Drama - 2023,12 episodes,"An unexpected case leads Lee Yeon back in time to 1938, where he reencounters Ryu Hong Joo. Once a guardian spirit of the mountain in the west, she's now the owner of a high-end restaurant in the capital city of Gyeongseong.…",8.8
#70,Taxi Driver,Korean Drama - 2021,16 episodes,"Do Gi has lived more honestly than anyone else as an officer in the Special Forces. Yet, when a serial killer murders his mother, he spends his days in agony. While feeling wronged and broken, Do Gi meets Jang Sung Chul,…",8.8
#71,D.P.,Korean Drama - 2021,6 episodes,"Private soldier Jun Ho is a confused youth who served in the military normally like other Koreans. One day, he suddenly becomes a member of the military defector arrest team. As such, he is tasked with capturing deserters…",8.8
#72,Eternal Love,Chinese Drama - 2017,58 episodes,"The Nine-tailed Fox Bai Qian, the youngest daughter of the Fox King, is brought to Kunlun Mountain to become a disciple of the God of War, Mo Yuan. While studying there, a war breaks out that leads to Mo Yuan sacrificing…",8.8
#73,The Uncanny Counter,Korean Drama - 2020,16 episodes,It tells the story of demon hunters called Counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.…,8.8
#74,Story of Yanxi Palace,Chinese Drama - 2018,70 episodes,"In 18th century Beijing, during the 6th year of Qianlong Emperor's reign, Wei Ying Luo enters the Forbidden City as an embroiderer to investigate the truth behind her older sister's rape and murder. Believing that Imperial…",8.8
#75,Weightlifting Fairy Kim Bok Joo,Korean Drama - 2016,16 episodes,"Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine…",8.8
#76,Kingdom,Korean Drama - 2019,6 episodes,"No sooner does the Joseon King succumb to smallpox, do the rumors of his death begin. The Cho Clan, the clan of the pregnant Queen and her father, Chief State Councillor Cho Hak Joo, declares the Crown Prince, a traitor.…",8.8
#77,Love for Love's Sake,Korean Drama - 2024,8 episodes,"Twenty-nine-year-old Tae Myung Ha experiences a bewildering twist of fate when suddenly finds himself transported into a fictional online game where he inhabits the body of a nineteen-year-old character. Soon, Tae Myung…",8.8
#78,Missing: The Other Side Season 2,Korean Drama - 2022,14 episodes,"3 Gongdan is a village where missing deceased people, including Kang Eun Sil and Oh Il Yong, stay. Meanwhile, Kim Wook, Jang Pan Seok, Lee Jong A, and Detective Shin Joon Ho try to find the bodies of the missing people…",8.8
#79,SKY Castle,Korean Drama - 2018,20 episodes,"Han Seo Jin, Noh Seung Hye, Jin Jin Hee, and Lee Myung Joo all live with their families in SKY Castle, a luxury private neighborhood hosting wealthy doctors and professors. All of the women wish for their children to…",8.8
#80,Daily Dose of Sunshine,Korean Drama - 2023,12 episodes,"Jung Da Eun works as a nurse. She is transferred to neuropsychiatry from the internal medicine department. This is her first time working in neuropsychiatry, so everything is difficult and awkward for her. Nevertheless,…",8.8
#81,A Shop for Killers,Korean Drama - 2024,8 episodes,"Shortly after entering college, Jian receives a call from local police informing her of her uncle’s “suicide”. Her caretaker, since the death of her parents, uncle Jeong Jin Man, had always been quiet and mysterious…",8.8
#82,Sword Snow Stride,Chinese Drama - 2021,38 episodes,"Xu Xiao is the King of China’s Northern Liang in an era of great upheaval. Steppe kingdoms have materialized with deadly intent, as rebellious uprisings threatened to destabilize the Southern realm. Against all odds,…",8.7
#83,Dr. Romantic Season 2,Korean Drama - 2020,16 episodes,"A “real doctor” story set in a small, humble hospital called Doldam Hospital. It is a story about people who meet Kim Sa Bu, a genius doctor, and discover “real romance.” Kim Sa Bu once gained fame as a top surgeon…",8.7
#84,Under the Skin,Chinese Drama - 2022,20 episodes,The young painter Shen Yi resigned from the Academy of Fine Arts and entered Haicheng Public Security Bureau mysteriously. Interpol Captain Du Cheng was furious and said that he would never accept those who caused his…,8.7
#85,Youth of May,Korean Drama - 2021,12 episodes,"Hee Tae becomes the pride of Gwangju when he enters Seoul National University College of Medicine with top marks. His best friend Kyung Soo, an avid pro-democracy activist, insists that they open an illegal clinic for…",8.7
#86,The Legend of Shen Li,Chinese Drama - 2024,39 episodes,"Born into the immortal realm, Shen Li grew in power, her skill on the battlefield eventually earning her the title of General Bi Cang. Pressured into a political marriage against her will, the general chose to fight…",8.7
#87,You Are My Glory,Chinese Drama - 2021,32 episodes,"A story that follows an aerospace engineer Yu Tu and the shining star Qiao Jing Jing. A decision is made to start gaming in order to save her endorsement deal brings her face to face with an old crush. As they grow closer,…",8.7
#88,Blossoms in Adversity,Chinese Drama - 2024,40 episodes,"A devastating tragedy of asset forfeiture suddenly befalls the Hua family. The men are forced into exile, leaving behind the women and children in dire straits. Hua Zhi, the young lady of the family, no longer stays…",8.7
#89,Begins Youth,Korean Drama - 2024,12 episodes,"The drama follows the lives of seven boys navigating their school years and personal growth, each grappling with family obligations, loss, poverty, abandonment, violence, and rejection. After an unwanted return to Songju-si,…",8.7
#90,Beyond Evil,Korean Drama - 2021,16 episodes,"Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city: Lee Dong Sik, a once capable detective, is now demoted to perform menial tasks at the…",8.7
#91,Racket Boys,Korean Drama - 2021,16 episodes,"A story of a boys' badminton team at a middle school in Haenam as they grow, both as people and as players. Yoon Hyun Jong was once a very good badminton player, but now he struggles to make ends meet for his family.…",8.7
#92,The Devil Judge,Korean Drama - 2021,16 episodes,"Set in a dystopian version of present-day Korea where daily life is chaos and society has collapsed to the point that people openly voice their distrust and hatred for their leaders. In this world bereft of law and order,…",8.7
#93,Through the Darkness,Korean Drama - 2022,12 episodes,"Back in the 1990s, the citizens of Seoul were gripped with a paralyzing fear after a series of brutal attacks and murders occurred. A mysterious figure dubbed ‘Red Cap’ was stalking women on the streets then killing…",8.7
#94,First Love: Hatsukoi,Japanese Drama - 2022,9 episodes,"In the late 90s, Yae and Harumichi met and fell in love. After graduating from high school, Yae went off to college in Tokyo, while Harumichi joined the Self-Defense forces as an aviation student, and like that they…",8.7
#95,SKZ Flix,Korean Drama - 2023,1 episodes,"It is a continuation of the On Track Universe storyline started in 2020, as it portrays the return of the film club project, and it is tied to the release of the eighth mini album ROCK-STAR and its song ""Leave"". SKZFLIX…",8.8
#96,Dear My Friends,Korean Drama - 2016,16 episodes,"Park Wan is a translator who is constantly pulled by her mother, Jang Nan Hee, to hang out with her elder friends, Jo Hee Ja, Moon Jung Ah, Oh Choong Nam, and Lee Yeong Won. The plot revolves around the friends' twilight…",8.7
#97,Partners for Justice Season 2,Korean Drama - 2019,32 episodes,"In crime and in life, all contact leaves a trace. There is no perfect crime and our hero and heroine have the ultimate cooperation. This drama continues the tale of a forensic scientist and a prosecutor who make the…",8.7
#98,Story of Kunning Palace,Chinese Drama - 2023,38 episodes,Jiang Xue Ning's unrelenting desire to become empress eventually strains her bond with her childhood friend Yan Lin and leads to the arrest of the noble Official Zhang Zhe. Guilt and remorse begin to seep in when her…,8.7
#99,Arthdal Chronicles Part 3: The Prelude to All Legends,Korean Drama - 2019,6 episodes,"Ta Gon gets what he wants as he sits atop his throne. However, now his life and throne are threatened when Eun Seom begins to gather power among the slaves and peasants of Arth as he starts to fight back against the…",8.7
#100,Life on Mars,Korean Drama - 2018,16 episodes,"As the leader of a crime investigation team, Han Tae Joo has propelled his career and risen through the ranks by trusting data over all else. One day, while investigating a serial murder case, he has an accident. When…",8.7
#101,Moon Lovers: Scarlet Heart Ryeo,Korean Drama - 2016,20 episodes,"When a total eclipse of the sun takes place, Go Ha Jin is transported back in time to the start of the Goryeo Dynasty of Korea during King Taejo's rule. She wakes up in the body of the 16-year-old Hae Soo and finds herself…",8.7
#102,Love and Redemption,Chinese Drama - 2020,59 episodes,"A thousand years since the battle between the demons and heavens took place, the souls of the Star of Mosha and the God of War are sent to the mortal realm to serve penance. In the mortal realm, Chu Xuan Ji, daughter…",8.7
#103,"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",Korean Drama - 2019,6 episodes,"Ta Gon has now become the most powerful man in Arthdal. He has an affectionate relationship only with Taealha, the daughter of the rival Hae Tribe, because of their shared ambitions. Sa Ya has been kept confined in a…",8.7
#104,Hometown Cha-Cha-Cha,Korean Drama - 2021,16 episodes,"After a conflict with her boss, dentist Yoon Hye Jin escapes the city to a seaside village where she'd vacationed to before as a little girl. When she learns the village is without a dentist, she decides to set up her…",8.7
#105,Mystery to Iunakare,Japanese Drama - 2022,12 episodes,"Totono Kuno is a university student. He has curly hair, which he has a complex about. He doesn't have any friends or a girlfriend. His memory and observation skills are very good, and he is also skilled at drawing conclusions…",8.7
#106,Thai Cave Rescue,Thai Drama - 2022,6 episodes,The Limited Series is based on 2018’s world-famous event. Twelve boys from the same football team decided to spend an afternoon with their coach exploring the Tham Luang caves in northern Thailand. When heavy rainfall…,8.7
#107,I Am Nobody,Chinese Drama - 2023,27 episodes,"Zhang Chu Lan, an ordinary young man, gets entangled in an unprecedented world of ""Outsiders"" when his grandfather's body mysteriously disappears. Facing unexpected pursuit from the Sinister Pleasure, a relentless organization,…",8.7
#108,The Guest,Korean Drama - 2018,16 episodes,"Yoon Hwa Pyung, a young psychic born into a shaman family, learns about the powerful demon called ""Son"" (Guest). The demon has the power to control other demons and allows them to possess weak people. The possessed people…",8.7
#109,Six Flying Dragons,Korean Drama - 2015,50 episodes,"A fictional, historical drama about the ambition, rise and fall of real and fictional characters based around Yi Bang Won. Yi Bang Won was the third king of the Joseon Dynasty in Korea and the father of King Se Jong…",8.7
#110,Sweet Home,Korean Drama - 2020,10 episodes,"Following the death of his family in an accident, loner Cha Hyun Soo moves to a new apartment. His quiet life is soon disturbed by strange incidents that start occurring in his apartment, and throughout Korea. As people…",8.7
#111,While You Were Sleeping,Korean Drama - 2017,32 episodes,"Nam Hong Ju, endowed with the ability to foresee events, resides with her widowed mother who runs a small restaurant. Despite her gift, she often finds herself powerless to change the outcomes. On the other side of the…",8.7
#112,A Journey to Love,Chinese Drama - 2023,40 episodes,"Female assassin Ren Ru Yi, the former left envoy of the Scarlet Guards, becomes a member of the Wu's State's escort delegation to save the King of Wu who has been taken hostage by the State of An. Together with Ning…",8.7
#113,Strong Woman Do Bong Soon,Korean Drama - 2017,16 episodes,"Do Bong Soon is a petite, unemployed woman who is honest and kind. She appears little and sweet on the outside, but she is in fact very, very strong. For generations in her family, the women have been gifted Herculean…",8.7
#114,The Penthouse Season 2: War in Life,Korean Drama - 2021,13 episodes,"After successfully framing Oh Yoon Hee, Cheon Seo Jin and Joo Dan Tae decide to get married. Their engagement party is interrupted by Oh Yoon Hee and Ha Yoon Cheol, who has just come back from the United States. As the…",8.7
#115,Nirvana in Fire Season 2: The Wind Blows in Chang Lin,Chinese Drama - 2017,50 episodes,"Xiao Ping Zhang and Xiao Ping Jing are the talented sons of Xiao Ting Sheng, the Prince of Changlin and general of the Liang dynasty’s most powerful army. Ping Zhang is the eldest and heir of Changlin, while Ping Jing…",8.7
#116,Defendant,Korean Drama - 2017,18 episodes,"Park Jung Woo is a prosecutor at Seoul Central District Prosecutors’ Office. One day, he wakes up and finds himself a convict on death row. Suffering from temporary amnesia, Jung Woo has no idea what transpired to…",8.7
