Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#3476,"Noble, My Love",Korean Drama - 2015,20 episodes,"Kang Hoon is the handsome, conceited CEO of a large company and heads D.O.L's Korean branch in Seoul. One day, he is kidnapped and dramatically escapes from the bad guys, but he bleeds so much that he blacks out in front…",7.5
#3477,The King's Face,Korean Drama - 2014,23 episodes,"""The King's Face"" tells the story of Prince Gwang Hae, an illegitimate son of King Seon Jo, who suffers since his childhood with the indifference of his father and the constant feeling that he hadn't a place in the palace.…",7.5
#3478,Hey Pro My Mountain Girl,Chinese Drama - 2019,12 episodes,A story that begins when the new boss of a ski park meets a ski-loving coach and work hand in hand to save the place from closure. (Source: ChineseDrama.info),7.5
#3479,Song Naree,Thai Drama - 2019,15 episodes,"The parents of Nueng and Song got divorced when they were little. The mother took the oldest twin, Nueng, while the father took the younger twin, Song. The twin had different personalities because of how they were raised,…",7.4
#3480,Art in Love,Chinese Drama - 2017,39 episodes,A story that revolves around two people who've known each other from their college days to the workplace and a mistaken romance that spans seven years. Unlike typical idol dramas where the characters uphold their one…,7.5
#3481,Stairway to Stardom,Chinese Drama - 2017,50 episodes,"Su Cheng is a kind and tenacious girl with a dream of becoming an actress in honor of her mother. She joins a talent competition with her best friend, following the loss of her job as an assistant after the actress she…",7.5
#3482,My True Friend,Chinese Drama - 2019,48 episodes,"New to the world of real estate, Cheng Zhen Zhen is an enthusiastic rookie agent determined to become the very best in her field. She joins the ranks of a local real estate agency, Love and Family, as an entry-level…",7.5
#3483,Ashita no Yakusoku,Japanese Drama - 2017,10 episodes,"The main character, Hinata Aizawa, is a school counselor at a high school, someone everyone could rely on. She listens to the students talk about their problems at school and at home. Hinata herself had experienced problems…",7.4
#3484,Potato Star 2013QR3,Korean Drama - 2013,120 episodes,"Computer programmer Hong Hye Sung dreams of becoming the Korean Mark Zuckerberg. An astronomical phenomenon occurs. A comet that falls onto earth in 2013 and causes all sorts of weird things to start happening. Therefore,…",7.5
#3485,Chronicle of Life,Chinese Drama - 2016,37 episodes,"A beautiful melody, played by a young maiden, catches the attention of Na Lan Rang Ruo, as he recognizes performer to be his cousin, Wei Lin Lang. Seeing his loyal subject's affection, emperor Kang Xi orders Lin Lang…",7.5
#3486,Haken Uranaishi Ataru,Japanese Drama - 2019,9 episodes,"21-year-old Ataru Matoba begins work for an event company as a dispatched worker. This is her first real job. She goes to work wearing a knit hat, sunglasses and a long coat. She is happy to have various work experiences,…",7.4
#3487,Suparburoot Jorm Jon: Duang Jai Kabot,Thai Drama - 2019,15 episodes,"""Suparburoot Jorm Jon"" is a series about twins that got raised separately, one being a loyal soldier and the other one a trashy mouth bandit. Lieutenant Pasu, a soldier from Thailand must go on a mission to help Chao…",7.4
#3488,Hotaru no Hikari 2,Japanese Drama - 2010,11 episodes,"Three years ago, the heart of Amemiya Hotaru, the 'dried up female', had settled on Takano 'Buchou', and the 'dried up female' was supposed to have grown up ... However, right after that, Hotaru was posted as a project…",7.5
#3489,Love Kome no Okite: Kojirase Joshi to Toshishita Danshi,Japanese Drama - 2021,12 episodes,"Ruri is both hardworking and beautiful. Despite everyone's assumptions, she is inexperienced with love; she has not had a boyfriend in 15 years. What will happen when her world collides with Ryo, who is ""perfect in appearance…",7.4
#3490,Never Gone,Chinese Drama - 2018,36 episodes,"The story started in high school. Su Yun Jin was a gentle and quiet student, while Cheng Zheng was the total opposite of her. He fell in love with her and started to pursue her until they sat in college, even when they…",7.4
#3491,Tomodachi Game,Japanese Drama - 2017,4 episodes,"High school student Katagiri Yuichi cares about friendship more than money because of his mother’s teachings. One day, Yuichi and his close friends, Shiho, Tenji, Makoto and Yutori, are suddenly forced to participate…",7.5
#3492,Step by Step: Uncut Version,Thai Drama - 2023,12 episodes,"Jeng is a fierce digital marketing manager despised by his subordinates in the company. As son of the owner, there's little he can do about it. Pat studied abroad in LA before coming to work as an enthusiastic new member…",7.5
#3493,Psychic Princess Season  2,Chinese Drama - 2020,72 episodes,"It continues the story of the psychic princess as she returns to Ye You Ming, only this time, she receives a completely different treatment. Ye You Ming is sweet and caring and only has eyes for her! Qian Yun Xi returns…",7.4
#3494,Ao no SP: Gakko nai Keisatsu Shimada Ryuhei,Japanese Drama - 2021,10 episodes,"The city of Tokyo introduces a school police system, stationing law enforcement officers within middle schools. Ryuhei Shimada, a detective with the Tokyo Metropolitan Police Department's Investigation Unit 1, known…",7.5
#3495,Meet in Gourmet Food,Chinese Drama - 2019,20 episodes,"The play tells the story of the young girl Su Xiao Ying, who has a super-taste, explores her own food dreams, and the genius chef, Ji Shi. The two pursue their dreams together, understand the true meaning of food, and…",7.4
#3496,Soulmate,Korean Drama - 2006,12 episodes,"The person you meet once in your lifetime that fate has brought to you! This person you call your soulmate. In the year 2006, your soulmate is secretly creeping up on you... What if my other half is really living somewhere…",7.5
#3497,Voice,Japanese Drama - 2009,11 episodes,"A group of five medical students take on the task of conveying the ""voices of the dead."" Kaji Daiki fails to get into a popular heart surgery seminar but is somehow accepted into a seminar on forensic pathology. When…",7.5
#3498,Kono yo no Hate,Japanese Drama - 1994,12 episodes,"Maria, struggling financially, juggles a low-paying day job with nighttime shifts at a cabaret to fund her sister Nana's eye operation. Tragedy struck their family when a young Maria accidentally caused a fire, resulting…",7.4
#3499,Love Story of Court Enemies,Chinese Drama - 2020,25 episodes,"The story is set in the Yuan year of the Yongzheng era. In the time of chaos, Yu Xing and her sister Cai Feng were separated. When Yu Xing knew that Cai Feng had entered the palace as a consort candidate, she decides…",7.5
#3500,VIP Only,Taiwanese Drama - 2023,10 episodes,"Gu Jing is a good chef who owns a creative and retro restaurant. He opens his restaurant anytime he wants. Gu finds that there is a boy who always gets the quietest seat, and that boy is Liu Li. Liu is a gay-themed novelist…",7.5
#3501,Paternity Tester,Chinese Drama - 2022,15 episodes,"Dong Ning Shu, a paternity tester, met second-generation heir Zhang Xi Da in an accident. Zhang Xi Da becomes attracted to Dong Ning Shu and decides to invest in the An He Paternity Center where she works. He also claims…",7.4
#3502,"Unmei ni, Nita Koi",Japanese Drama - 2016,8 episodes,"During their childhood, a little girl and a boy made a pledge to meet again. Now at the age of 45, the girl, Kasumi, is now a divorced mother of a son of high school age. She works as hard as she can at a laundry delivery…",7.4
#3503,Blue Birthday,Japanese Drama - 2023,10 episodes,"On her 17th birthday, Ozaki Karin suddenly lost her childhood friend and first love, Soma Jun. Ten years later, on her 27th birthday, Karin happens to find a film camera left behind by Jun and the photos he took of her.…",7.4
#3504,After School: Lucky or Not,Korean Drama - 2013,12 episodes,"Kim So Eun is a timid, unadventurous high school student until one day, she receives a mysterious note inviting her to the after-school “Lucky or Not Club.” It’s there that she meets five flower boys who choose…",7.5
#3505,Fake Phoenixes,Chinese Drama - 2017,12 episodes,"A story revolving around a complicated romance between the Crown Prince of Da Xuan, the Princess of Beichu, the son of the Prime Minister and a political conspiracy brewing in the palace. Ye Qing Ge and Su Yu became…",7.4
#3506,She Is the One,Chinese Drama - 2021,24 episodes,"Posing as her sister to cover for her sibling’s mistake several years ago, Yuan Yue Yue has agreed to marry an ultra-rich business heir named Wen Jin Chen, a man she has never met, at the request of her family. But…",7.5
#3507,Pure,Japanese Drama - 2019,3 episodes,"An unpopular idol, Kurobara Junko, pretends to be innocent, but in reality, she is an absurd girl who is jealous of her rival. She volunteers to work as traffic safety and security awareness in a parade to increase her…",7.4
#3508,Almost Famous,Chinese Drama - 2022,24 episodes,"Cheng Ming has always dreamed of becoming a top entertainment star, but her path has been beset with obstacles. Her parents are not keen on her choice of career, and academic pressures are high. But despite all this,…",7.5
#3509,Nazotoki wa Dinner no Ato de,Japanese Drama - 2011,10 episodes,"Kageyama is a butler working for a rich heiress, Reiko Hosho. Needed by detectives, Reiko is a novice detective that lacks a few deductive skills. Because of this, Kageyama is relied on by Reiko to help solve cases.…",7.5
#3510,Saikou no Jinsei no Owarikata - Ending Planner,Japanese Drama - 2012,10 episodes,"Ihara Masato becomes the fifth-generation owner of a funeral parlor after his father dies and he takes over the family business which he has always hated. As a purveyor of the police, all this funeral parlor handles…",7.5
#3511,Ye Cheng Fu,Chinese Drama - 2023,16 episodes,"Shu Cheng, the daughter of the first aristocratic family of Shu, had to pretend to be a playgirl in order to hide her capable self that threatened the Emperor. She wanted to promote the peerless Shen Ye as the a yiji…",7.5
#3512,Suddenly Seventeen,Chinese Drama - 2016,26 episodes,"Back to the 17-year-old high school campus, Liang Xia and Mao Liang were 28 and after facing a discussion they found themselves again 10 years back, thus facing again the life on campus out of the blue. Liang Xia wanted…",7.4
#3513,My Girlfriend,Chinese Drama - 2019,28 episodes,"When Ding Xiao Rou turned 17, a misunderstanding results in Xiao Rou believing that she will never find happiness. Ding Xiao Rou is an window design artist and narcoleptic. She falls asleep at critical moments of her…",7.5
#3514,Face Off,Chinese Drama - 2017,42 episodes,"The candid and straightforward Chen Zhen works as a salesgirl for cosmetics. She meets Wang Yi, a leading prosthetic makeup artist, at a fashion show by chance. And thus, commences her pursuit in the field of prosthetic…",7.4
#3515,Minato Shouji Coin Laundry Season 2,Japanese Drama - 2023,12 episodes,"Minato Akira, running his grandfather's laundromat, finds his relationship with Katsuki Shintaro facing unexpected challenges after three months of bliss. Meanwhile, Asuka and Hiiragi's budding romance takes a complicated…",7.5
#3516,Boss-dol Mart,Korean Drama - 2023,10 episodes,"The Thunder Boys are K-pop heartthrobs whose talent agency has left them in hot water: The company is in financial trouble and has been struggling to pay its staff. The five-member group comprises leader Choi Ho Rang,…",7.5
#3517,Kake kara Hajimaru Sayonara no Koi,Japanese Drama - 2023,8 episodes,"With her stern efficiency, Yoshinaga Nao is known as the Ice Iron Lady of the company. One day, she overheard colleagues making a bet with Satomura that he could make Nao fall for him. Unbeknownst to them, Nao has had…",7.5
#3518,Life Made Simple,Hong Kong Drama - 2005,32 episodes,"Ding Sheung Wong is a man in his thirties but with an IQ of a seven year old. People make fun of him by calling him crazy, but he tells them that he is just simple. His best friend Wong Kei Fung , used to play a game…",7.4
#3519,Have a Crush on You,Chinese Drama - 2023,36 episodes,"After six years of not seeing each other, Ruan Liu Zheng, a neurosurgeon at Xicheng Hospital, is sent on a trip to Africa to bring a patient back to China and meets her ex-husband, Ning Zhi Qian, who is the most experienced…",7.5
#3520,Faceless Love,Thai Drama - 2023,14 episodes,"Veekij is a stoic young CEO with prosopagnosia or ""face blindness,"" meaning he cannot distinguish people's faces. For this reason, he decides to hire an assistant to help connect him with the rest of the world. Mirin…",7.5
#3521,The Classic of Mountains and Seas,Chinese Drama - 2016,46 episodes,"Based on a classical text, the drama tells the tale of a royal who is abandoned at the young age of ten because of a prophecy that said he would kill his father. As he grows up, he must deal with two parts of him that…",7.4
#3522,See You in Time,Taiwanese Drama - 2017,16 episodes,Anomalies in the Earth’s atmosphere cause irregularities in telecommunications that affects one man’s future. Feng Ying is an internationally renowned cyclist and a star in the sports world. But when he decides to…,7.4
#3523,Xuan-Yuan Sword: Han Cloud,Chinese Drama - 2017,58 episodes,"After the ancient Emperor defeated the demons, the shattered sword was broken into two parts. Two sword spirits were born - Zhao Yun and Mu Yun. However, due to the chaos caused by the battles, the two brothers were…",7.4
#3524,Buried City to Shut All Lights,Chinese Drama - 2018,36 episodes,A sad and painstaking love story between a teacher and student as it follows the heroine and her plot for revenge. Official Ji sent his daughter Qi Yue to learn the arts under the guidance of the Chu Family's second…,7.5
#3525,Raise de wa Chanto Shimasu,Japanese Drama - 2020,12 episodes,"Follows the sexual lives of five people who work at the same CG production company, Studio Delta. Omori Momoe is 27 years old and single but has intimate relationships with five male friends. She thinks of physical intimacy…",7.5
#3526,Ultraman R/B,Japanese Drama - 2018,25 episodes,"Katsumi and his brother Isami, a college student, were working at their father's select shop, when they suddenly encountered an unknown gigantic organism; a monster had appeared on the street. Using the R/B Gyro, along…",7.4
#3527,Rules of Zoovenia,Chinese Drama - 2019,24 episodes,"He Xiao Qing has been helping out at the community welfare center since she was a kid. Through a stroke of luck, she gets the opportunity to study at a prestigious school and tries hard to do well in her studies. At…",7.5
#3528,Master Devil Do Not Kiss Me Season 2,Chinese Drama - 2017,23 episodes,"Qi Lu and Chu Xia's relationship and school life develop and are complicated with new love rivals. When Qi Lu's first love comes back to school, will he return to his first love or start a whole new story? And what will…",7.5
#3529,Bangkok Bachelors,Thai Drama - 2016,16 episodes,Story of 3 single playboys who meet the women that turn their lives upside down.,7.4
#3530,Lie to Me,Korean Drama - 2011,16 episodes,"Gong Ah Jung, a level 5 Ministry of Culture official, gets entangled in a web of lies when she mistakenly lies that she's married to Hyun Ki Joon, a noble hotel manager from an affluent family. Their relationship is…",7.5
#3531,Gold Panning,Chinese Drama - 2022,12 episodes,"In 1986, 20-year-old Chen Bao Jin came to the Altai region to find his brother, who was missing in the gold rush. He was tangled between life and death in the complicated environment and was also trapped between many…",7.4
#3532,Song of the Dynasty,Chinese Drama - 2023,29 episodes,"In the eyes of outsiders, Empress Dowager Su Zhao Ge is seen as a licentious and pleasure-seeking empress, indulging in frivolity day in and day out. However, in reality, Su Zhao Ge has been secretly plotting, only to…",7.5
#3533,Secret Playlist,Korean Drama - 2023,8 episodes,"Ordinary 24-year-old college student Han Joo, on the surface, appears to be a hardworking job seeker facing the harsh reality. However, she secretly nurtures her dream of becoming a singer by operating a cover song SNS…",7.4
#3534,Samee Chua Kuen,Thai Drama - 2022,18 episodes,"The moment she opened her eyes, she noticed her body without clothes on and there was a man sleeping on his stomach next to her. The whole world seemed to collapse in front of her. Chon Phansa, a beautiful woman who…",7.5
#3535,"Breakup Probation, A Week",Korean Drama - 2021,10 episodes,"Deeply in love, Park Ga Ram and Kim Seon Jae anticipated their wedding, but a tragic accident shattered their dreams. Ga Ram didn't survive, and Seon Jae was left in a coma, unaware he was fighting for his life alone.…",7.5
#3536,Majurat See Nam Pueng,Thai Drama - 2013,15 episodes,"This is a story of two close families that promised and agreed on their children's marriage before they were born. Madam Lamphao, the head of Wichanee family, has two daughters: An elder daughter called Rojanasnai and…",7.5
#3537,Quarantine Stories,Thai Drama - 2020,10 episodes,Different stories happening in Bangkok during the COVID-19 quarantine.,7.4
#3538,Fai Lang Fai,Thai Drama - 2015,14 episodes,"Leela pledges her life to take revenge on her father's enemy. It is not easy, as Narut devotes to protect his family. But when the game of revenge lights up the love in his heart, he must do everything to stop the revenge…",7.4
#3539,Bicheonmu,Korean Drama - 2008,14 episodes,"This drama depicts the sacrifices four central characters make for love, vengeance and honor as each travels a road of chosen destiny.",7.4
#3540,Forward Forever,Chinese Drama - 2020,58 episodes,"A story set at a period of great unrest during the end of the Qing Dynasty and beginning of the Republic of China, that follows two impassioned youths as they devote their lives to their country. Due to a series of events,…",7.5
#3541,The Heavenly Idol,Korean Drama - 2023,12 episodes,"Pontifex Rembrary, a character known for his divine powers, gets transported to a new world while fighting a devil. He possesses the body of Woo Yeon Woo, a member of an unpopular idol group, and helps turn the group's…",7.5
#3542,Dicey Business,Hong Kong Drama - 2006,35 episodes,"A talented card player, Chai Foon Cheung, entered a worldwide poker tournament when he was 18 years old and was regarded as a favorite. However, due to the follies of youth, Cheung was seduced by Lam Siu Yan, who was…",7.4
#3543,Memory Love,Taiwanese Drama - 2017,18 episodes,"Can one life and two hearts be saved? Qiao Jia En and her boyfriend, Wang Xiu Kai, return to Taiwan to reunite with her estranged wealthy father. A car accident leaves Jia En with memory loss and Shu Kai brain dead.…",7.5
#3544,Blue Veins,Hong Kong Drama - 2016,33 episodes,"After getting struck by lightning during the The Great Vampire War, Ying Wuet Tseuk and his gang of thieves become The Undead, a race of immortal beings. For the next 500 years, Ying Wuet Tseuk kept his identity hidden…",7.4
#3545,Youths in the Breeze,Chinese Drama - 2020,24 episodes,"The play consists of three youth stories. >> Story 1: ""Cat Boyfriend"" The cat Jiang Xiao Kui and his owner Jiang Qing from the cat kingdom live a happy life. Until Jiang Qing's younger brother Jiang Xia returned home.…",7.5
#3546,Ruse of Engagement,Hong Kong Drama - 2014,25 episodes,"Widow Tong Suk Fan is saddled with hardship alone, struggling to bring up her two sons Chong Yau Ching and Chong Yau Kit. The brothers join the Intelligence Unit and the Operations Unit of the Anti-Terrorist Force, respectively,…",7.4
#3547,Hey Pro My Mountain Girl Second Season,Chinese Drama - 2019,12 episodes,A story that begins when the new boss of a ski park meets a ski-loving coach and work hand in hand to save the place from closure. (Source: ChineseDrama.info),7.4
#3548,A Step into the Past,Chinese Drama - 2018,40 episodes,"A legendary story about a man who inadvertently travels back 2000 years in time to the Warring States Era and gets caught in the center of a power struggle between nations. During a space exploration, Xiang Shao Long…",7.4
#3549,14-sai no Haha,Japanese Drama - 2006,11 episodes,"The drama concerns 14-year-old Miki Ichinose, who becomes pregnant with her boyfriend's child. After struggling with the fact that she is pregnant, she decides that she will keep the baby and raise it by herself. The…",7.5
#3550,Wang's Family,Korean Drama - 2013,50 episodes,"The Wang family faces a number of challenges: elitism; discrimination; children moving back home after living on their own during colleges; the power dynamics between husband, wife and family; and decisions about when…",7.5
#3551,My Story for You,Chinese Drama - 2018,48 episodes,"In 1998, Zhang Chang Gong got his first taste of success as a developer in an IT company. At the same time, he meets and falls in love with Li Mu Zi, a kind and intelligent university student. Unfortunately, the IT industry…",7.4
#3552,Fighting for Love,Chinese Drama - 2024,36 episodes,"The story follows Shang Yi Zhi, the son of the Grand Princess, who masquerades as a playboy to conceal his true identity. He encounters A Mai, the daughter of the Duke of Jingguo from Southern Xia, who also hides her…",7.5
#3553,Dr. White,Japanese Drama - 2022,10 episodes,"A collapsed woman, wearing white clothes, is found at a park in the early morning hours. The woman introduces herself as Byakuya. Except for her name, she doesn't remember anything else about herself. She doesn't know…",7.5
#3554,Drunk to Love You,Chinese Drama - 2024,24 episodes,"Jiang Lu, who also claimed to never get drunk, gave Liu Ya Li a taste of meeting her match, and for the first time in a long while, she found herself ""drunk"" on the spot. Awakening from her ""hangover,"" Liu Ya Li vowed…",7.5
#3555,Maid's Revenge,Chinese Drama - 2022,30 episodes,"In a single night, Dong Ting Yao's entire family was wiped out in a massacre. Right before her father died, he told her to seek refuge at her unseen fiance, Fang Yu Ze's home. At the same time, Fang Yu Ze's uncle, Fang…",7.5
#3556,Anti Reset,Taiwanese Drama - 2024,10 episodes,"When Chu Yi Ping, an emotionless man, dislocates his hand in an accident at school, his uncle gives him Ever 9 as a caretaker, an experimental intelligent robot that his company is secretly testing. Although Yi Ping…",7.4
#3557,Girl Next Room: Security Love,Thai Drama - 2020,6 episodes,"View Viva is a famous rising star who lives in Ms. Jam's all-female Dorm. One day, she meets the helpful and kind man Fai who later on becomes a security guard at Ms. Jam's dorm as he was fired from an earlier job for…",7.4
#3558,Ru: Taiwan Express,Japanese Drama - 2020,3 episodes,"In 1999, a general trading company in Tokyo celebrates because Shinkansen of Japan wins priority negotiating rights for the Taiwan High-Speed Rail. Tada Haruka has been working at the general trading company for 4 years…",7.4
#3559,Luead Mungkorn: Krating,Thai Drama - 2015,10 episodes,"Thyme Tharathorn, the adopted son of Chen Yi Xian, returns to Thailand to take the position as the head of the Krating gang. Or at least that's the way it looks on the outside. Seven years ago, Thyme's birth parents…",7.5
#3560,Sisyphus,Chinese Drama - 2020,12 episodes,"Zhang Hai Feng quits his job as a police officer after the death of his daughter, Duo Duo. However, one day, a serial killer case reveals new-found evidence about the accident that led to Duo Duo's death. In order to…",7.4
#3561,Fah Jarod Sai,Thai Drama - 2013,11 episodes,"Michelle is a mixed orphaned girl who grew up in a convent. When she graduated from school, she followed her best friend Kasfiya to a distant desert kingdom called Hinfara to teach. As soon as they get there, Kasfiya…",7.4
#3562,I Need Romance Season 2,Korean Drama - 2012,16 episodes,"The plot is centered around the 10 year relationship between Yoon Seok Hyun and Joo Yeol Mae, who have been repeatedly breaking up and getting back together the entire duration of their relationship. Tired and looking…",7.5
#3563,Magic Star,Chinese Drama - 2017,51 episodes,"Set in the Song Dynasty, the story follows 5 key players as they search for the magic star that existed in legends – one that can bring peace and order back to the chaotic world they have come to know.",7.4
#3564,Astrophile,Thai Drama - 2022,18 episodes,"Nubdao is the host of a home shopping program, 'Wish You Were Home.' She's always been a strong person and a hard worker, but she still feels she doesn't have her life together. She's facing sexual harassment at work…",7.5
#3565,Under the Canopy of Love,Hong Kong Drama - 2006,20 episodes,"Because of a lost PDA, the lovely and childlike Fiona Ko Yat Sze is brought together with her Prince Charming, a boy whom she had had a crush on since school days. Alan Shum Long is the Prince Charming, who, after graduation…",7.4
#3566,Mop Girl,Japanese Drama - 2007,10 episodes,Momoko has just started a new job at a company that offers funeral services and cleans up after crime scenes when she discovers she has an amazing supernatural power. When she touches an item belonging to someone recently…,7.5
#3567,4 Reasons Why I Hate Christmas,Korean Drama - 2019,6 episodes,A web-drama about 4 young adults who hate Christmas who meet by chance and spend the month of December together. They unexpectedly become a part of each others lives as Christmas nears.,7.4
#3568,Hunted,Korean Drama - 2022,4 episodes,"While boar hunting goes on in an ordinary country village, a missing person case takes place. Surrounding the missing person case, the villager's secrets are revealed one by one. Young Soo is a middle-aged man in the…",7.5
#3569,Perfect Wedding,Chinese Drama - 2016,44 episodes,Wedding planner Xia Ran is in search for her boyfriend who has broken up with her. Young doctor Jin Zhi Hao is tired of his mother's worry about his marriage status. So in an attempt to fulfill each other's wishes they…,7.4
#3570,The Producers,Korean Drama - 2015,12 episodes,"The drama is set in the backstage world of broadcasting industry. The story revolves around the dynamic work and life of people who work in the entertainment division of television network. Ra Jun Mo, a 10-year veteran…",7.5
#3571,Boy for Rent,Thai Drama - 2019,12 episodes,"When love is not as expected... Smile has a crush on her handsome senior, Kyro, but when she confesses he refuses, telling her he doesn't like childish girls. Smile decides to hire a ""Boy For Rent"" to learn how to make…",7.5
#3572,Toki wo Kakeru Shoujo,Japanese Drama - 2016,5 episodes,"Yoshiyama Mihane is a 3rd-grade high school student. She is a member of the photo club at her school. The day before her summer vacation, she smells a lavender scent in the science lab and she suddenly gains the ability…",7.5
#3573,Record of Youth,Korean Drama - 2020,16 episodes,This is a drama about the growth record of young people who strive to achieve their dreams and love without despair in a generation where dreams have become a luxury and the passionate record of young people who beeline…,7.5
#3574,Q10,Japanese Drama - 2010,9 episodes,"Heita is an ordinary high school boy with a kind heart but no real interest in romance. His class is joined by a transfer student named Q10 (pronounced ""kyu-to"", the same as ""cute""), who looks like a girl but is actually…",7.5
#3575,My Marvellous Fable,Chinese Drama - 2023,24 episodes,"By chance, best-selling author Wang Pu Tao and rookie editor Feng Tian Lan have become colleagues. The story unfolds through their marvellous adventures in their journey home. After being attracted by a novel, Feng Tian…",7.5
#3576,Together with Me: The Next Chapter,Thai Drama - 2018,13 episodes,"The story of Knock and Korn continues after the series ""Together With Me"" and ""Bad Romance"". Three years into their relationship, Knock and Korn's relationship is tested as outsiders plotting to break them up, and Korn…",7.5
#3577,It's Okay to Be Sensitive Season 3,Korean Drama - 2020,8 episodes,"In these times when it is difficult to completely guard ""oneself"" due to social and gender issues, the friendship story of four people delivering warm comfort to all the wounded people in the world. (Source: HanCinema)",7.4
#3578,The Rules of Love,Chinese Drama - 2019,12 episodes,"Merperson Yang Luo Tian has always gone as a boy for most of his life. That is until he saved Lie Heng Yu from drowning. When a merperson first falls in love, the equivalent of puberty hits, and their body begins to…",7.5
#3579,Me Always You,Thai Drama - 2021,24 episodes,"The young, beautiful, carefree Ploypailin comes from a wealthy publishing family. She has fond memories of her once-pudgy childhood friend and secret first love, Kevin. But when her family’s business hits rock bottom…",7.4
#3580,Ameiro Paradox,Japanese Drama - 2022,8 episodes,"Satoshi Onoe is a reporter for the weekly gossip magazine Dash!. The magazine is a hit among readers, often containing juicy details about the latest celebrity scandals. Its success is largely down to its so-called stakeout…",7.5
#3581,Don't Say No,Thai Drama - 2021,12 episodes,"For the past ten years, Leo and Fiat have been the best of friends. Growing up together, they have been practically inseparable since childhood. As they’ve gotten older, however, they’ve begun to notice some unexpected…",7.5
#3582,Master of the House,Thai Drama - 2024,7 episodes,"Following a diamond tycoon's mysterious death, a cutthroat battle over his estate erupts between his heirs and the housekeeper their father recently married. 

(Source: Netflix)",7.5
#3583,Love in a Loop,Chinese Drama - 2022,24 episodes,"The rude and narcissistic boss Bai Zhen Xiang is constantly dying because of the resentment of his employees. Every time he dies, the time is reset to the same day, which causes his employee Li Lu Duo to be trapped in…",7.5
#3584,Osen,Japanese Drama - 2008,10 episodes,"Handa Sen is the ""okami"" (proprietress) of a long-standing restaurant in one of the lower parts of Tokyo. Though she is normally airheaded and loves to drink, she has an impressive mastery of a wide range skills, from…",7.4
#3585,Return the World to You,Chinese Drama - 2019,58 episodes,"Chen Yi En and her boyfriend, Ye Qi Lei, set up their own business together right after graduating from university. However, they have to learn that the business world is competitive and cruel. In the end, his rival…",7.5
#3586,"The Starry Night, the Starry Sea Season 2",Chinese Drama - 2017,34 episodes,"Set in the seaside town Chang Le of the prosperous Tang with a developed shipbuilding industry, the drama tells the story of a human girl Lu Li who disguises herself as a male, hoping to make her mark in the shipyard…",7.4
#3587,"Moshimo, Ikemen Dake no Koukou ga Attara",Japanese Drama - 2022,10 episodes,The story is set in the private senior high school Minami Gakuen which boasts of an unusually high proportion of good-looking students and aims to win at the National Ikemen Contest for senior high school students. (Source:…,7.4
#3588,"Soshite, Dare mo Inaku Natta",Japanese Drama - 2016,9 episodes,"Todo Shinichi is an outstanding system developer who works for a large computer system development company. Blessed with looks, intellect, family, friends and a girlfriend, his world suddenly comes crashing down when…",7.5
#3589,Enslaved by Love,Chinese Drama - 2024,24 episodes,"Xie Yun, a noblewoman of the Xie family, is strong-willed and intelligent. After her family fell into trouble, she was saved by Yin Ji and stayed by his side. However, due to a misunderstanding in their youth, the two…",7.5
#3590,Itsuka Hi no Ataru Basho de,Japanese Drama - 2013,10 episodes,Hako was sentenced to 7 years in prison on a robbery charge for the host she loved. Ayaka killed her husband to protect their son from domestic violence. These two women became acquainted in prison and forged strong…,7.4
#3591,Garo: Makai no Hana,Japanese Drama - 2014,25 episodes,"Garo: Makai no Hana follows Raiga Saezima, the son of Kouga Saezima and Kaoru Mitsuki, in his quest to seal the Demon Beast Eyrith, a Horror that if she blooms she will cause the Horror Messiah to return. However, he…",7.4
#3592,Ngao Jai,Thai Drama - 2015,15 episodes,"Twins, Watit and Ruth, lead completely different lives. Watit belongs to high society in the city, while Ruth leads a modest life in the countryside. When Watit gets severely injured, their father asks Ruth to take over…",7.4
#3593,To My Beautiful Woo Ri,Korean Drama - 2019,3 episodes,"A web drama that follows the beginning of the relationship between Bae Woo Ri and Park Jun Seok. By mere coincidence, former classmates meet again as adults. However, Park Jun Seok is far from the person and aforementioned…",7.4
#3594,Secret Garden,Thai Drama - 2019,20 episodes,"An arrogant and eccentric CEO and a poor and humble stuntwoman swap bodies after a strange sequence of events.

(Source: TMDB)",7.4
#3595,My Princess,Korean Drama - 2011,16 episodes,"An ordinary college student, Lee Seol, finds out she's a princess. The grandson of Daehan Group, Park Hae Young, is put in charge of educating Seol on proper etiquette. However, Hae Young is put in a precarious situation…",7.5
#3596,No Regrets in Life,Taiwanese Drama - 2022,12 episodes,"Two college sweethearts' paths cross again after eight years. The ill-fated college couple accidentally becomes a viral sensation after a fight. Now, they must figure out how they feel – with the world watching. (Source:…",7.3
#3597,Kamen Rider Zi-O,Japanese Drama - 2018,49 episodes,"Sougo Tokiwa, a high school student born in the year 2000, has always dreamed of becoming a king when he encounters a mysterious girl named Tsukuyomi, who hails from the future in a desperate effort to alter her dire…",7.5
#3598,Mutsu: Mieru Me,Japanese Drama - 2015,10 episodes,"Tameyori Eisuke is a dedicated general practitioner who runs a clinic, which seems on the verge of collapse, in a provincial town. He seems to be a middle-aged man who will never get ahead, but in fact possesses an astonishing…",7.4
